sequence,color_space,umap_components,original_feature_dim,umap_applied,crop_center_ratio,crop_method,experiment_stage,positive_label,negative_label,true_positive,false_positive,true_negative,false_negative,accuracy,num_samples
F_20200220_1_0060_0090,h,800,800,False,0.8,center,ratio_sweep,1,0,116,106,59,49,0.5303030303030303,330
F_20200220_1_0090_0120,h,800,800,False,0.8,center,ratio_sweep,1,0,115,108,57,50,0.5212121212121212,330
F_20200220_1_0090_0120,rgb,864,864,False,0.8,center,ratio_sweep,1,0,115,108,57,50,0.5212121212121212,330
F_20200220_1_0120_0150,h,800,800,False,0.8,center,ratio_sweep,1,0,114,111,54,51,0.509090909090909,330
F_20200220_1_0120_0150,rgb,864,864,False,0.8,center,ratio_sweep,1,0,114,111,54,51,0.509090909090909,330
F_20200220_1_0150_0180,h,800,800,False,0.8,center,ratio_sweep,1,0,45,40,59,54,0.5252525252525253,198
F_20200220_1_0150_0180,rgb,864,864,False,0.8,center,ratio_sweep,1,0,45,40,59,54,0.5252525252525253,198
F_20200220_1_0330_0360,rgb,864,864,False,0.8,center,ratio_sweep,1,0,104,101,31,28,0.5113636363636364,264
F_20200220_1_0330_0360,h,800,800,False,0.8,center,ratio_sweep,1,0,104,101,31,28,0.5113636363636364,264
F_20200220_1_0360_0390,rgb,864,864,False,0.8,center,ratio_sweep,1,0,77,39,126,88,0.6151515151515151,330
F_20200220_1_0360_0390,h,800,800,False,0.8,center,ratio_sweep,1,0,77,39,126,88,0.6151515151515151,330
F_20200220_1_0390_0420,rgb,864,864,False,0.8,center,ratio_sweep,1,0,53,41,124,112,0.5363636363636364,330
F_20200220_1_0390_0420,h,800,800,False,0.8,center,ratio_sweep,1,0,53,41,124,112,0.5363636363636364,330
F_20200220_1_0420_0450,h,800,800,False,0.8,center,ratio_sweep,1,0,83,54,111,82,0.5878787878787879,330
F_20200220_1_0420_0450,rgb,864,864,False,0.8,center,ratio_sweep,1,0,83,54,111,82,0.5878787878787879,330
F_20200220_1_0450_0480,rgb,864,864,False,0.8,center,ratio_sweep,1,0,90,59,106,74,0.5957446808510638,329
F_20200220_1_0450_0480,h,800,800,False,0.8,center,ratio_sweep,1,0,90,59,106,74,0.5957446808510638,329
F_20200220_1_0480_0510,h,800,800,False,0.8,center,ratio_sweep,1,0,63,56,109,102,0.5212121212121212,330
F_20200220_1_0480_0510,rgb,864,864,False,0.8,center,ratio_sweep,1,0,63,56,109,102,0.5212121212121212,330
F_20200220_1_0510_0540,h,800,800,False,0.8,center,ratio_sweep,1,0,55,50,115,110,0.5151515151515151,330
F_20200220_1_0510_0540,rgb,864,864,False,0.8,center,ratio_sweep,1,0,55,50,115,110,0.5151515151515151,330
F_20200220_1_0540_0570,rgb,864,864,False,0.8,center,ratio_sweep,1,0,75,43,122,90,0.5969696969696969,330
F_20200220_1_0540_0570,h,800,800,False,0.8,center,ratio_sweep,1,0,75,43,122,90,0.5969696969696969,330
F_20200220_1_0570_0600,h,800,800,False,0.8,center,ratio_sweep,1,0,91,81,84,74,0.5303030303030303,330
F_20200220_1_0570_0600,rgb,864,864,False,0.8,center,ratio_sweep,1,0,91,81,84,74,0.5303030303030303,330
F_20200220_1_0600_0630,rgb,864,864,False,0.8,center,ratio_sweep,1,0,60,45,120,105,0.5454545454545454,330
F_20200220_1_0600_0630,h,800,800,False,0.8,center,ratio_sweep,1,0,60,45,120,105,0.5454545454545454,330
F_20200220_1_0630_0660,rgb,864,864,False,0.8,center,ratio_sweep,1,0,52,41,124,113,0.5333333333333333,330
F_20200220_1_0630_0660,h,800,800,False,0.8,center,ratio_sweep,1,0,52,41,124,113,0.5333333333333333,330
F_20200220_1_0660_0690,h,800,800,False,0.8,center,ratio_sweep,1,0,60,39,126,105,0.5636363636363636,330
F_20200220_1_0660_0690,rgb,864,864,False,0.8,center,ratio_sweep,1,0,60,39,126,105,0.5636363636363636,330
F_20200220_1_0690_0720,h,800,800,False,0.8,center,ratio_sweep,1,0,72,39,126,93,0.6,330
F_20200220_1_0690_0720,rgb,864,864,False,0.8,center,ratio_sweep,1,0,72,39,126,93,0.6,330
F_20200220_1_0720_0750,h,800,800,False,0.8,center,ratio_sweep,1,0,65,52,113,100,0.5393939393939394,330
F_20200220_1_0720_0750,rgb,864,864,False,0.8,center,ratio_sweep,1,0,65,52,113,100,0.5393939393939394,330
F_20200220_1_0750_0780,h,800,800,False,0.8,center,ratio_sweep,1,0,85,56,109,80,0.5878787878787879,330
F_20200220_1_0750_0780,rgb,864,864,False,0.8,center,ratio_sweep,1,0,85,56,109,80,0.5878787878787879,330
F_20200220_1_0780_0810,h,800,800,False,0.8,center,ratio_sweep,1,0,44,38,127,121,0.5181818181818182,330
F_20200220_1_0780_0810,rgb,864,864,False,0.8,center,ratio_sweep,1,0,44,38,127,121,0.5181818181818182,330
F_20200220_1_0810_0840,h,800,800,False,0.8,center,ratio_sweep,1,0,121,119,46,44,0.5060606060606061,330
F_20200220_1_0810_0840,rgb,864,864,False,0.8,center,ratio_sweep,1,0,121,119,46,44,0.5060606060606061,330
F_20200220_1_0840_0870,h,800,800,False,0.8,center,ratio_sweep,1,0,40,32,133,125,0.5242424242424243,330
F_20200220_1_0840_0870,rgb,864,864,False,0.8,center,ratio_sweep,1,0,40,32,133,125,0.5242424242424243,330
F_20200220_1_0870_0900,rgb,864,864,False,0.8,center,ratio_sweep,1,0,101,78,87,64,0.5696969696969697,330
F_20200220_1_0870_0900,h,800,800,False,0.8,center,ratio_sweep,1,0,101,78,87,64,0.5696969696969697,330
F_20200220_1_0000_0030,h,800,800,False,1.0,center,ratio_sweep,1,0,63,53,112,101,0.5319148936170213,329
F_20200220_1_0000_0030,rgb,864,864,False,1.0,center,ratio_sweep,1,0,63,53,112,101,0.5319148936170213,329
F_20200220_1_0030_0060,rgb,864,864,False,1.0,center,ratio_sweep,1,0,84,68,97,81,0.5484848484848485,330
F_20200220_1_0030_0060,h,800,800,False,1.0,center,ratio_sweep,1,0,84,68,97,81,0.5484848484848485,330
F_20200220_1_0060_0090,rgb,864,864,False,1.0,center,ratio_sweep,1,0,91,87,78,74,0.5121212121212121,330
F_20200220_1_0060_0090,h,800,800,False,1.0,center,ratio_sweep,1,0,91,87,78,74,0.5121212121212121,330
F_20200220_1_0090_0120,h,800,800,False,1.0,center,ratio_sweep,1,0,100,90,75,65,0.5303030303030303,330
F_20200220_1_0090_0120,rgb,864,864,False,1.0,center,ratio_sweep,1,0,100,90,75,65,0.5303030303030303,330
F_20200220_1_0120_0150,h,800,800,False,1.0,center,ratio_sweep,1,0,69,65,100,96,0.5121212121212121,330
F_20200220_1_0120_0150,rgb,864,864,False,1.0,center,ratio_sweep,1,0,69,65,100,96,0.5121212121212121,330
F_20200220_1_0150_0180,rgb,864,864,False,1.0,center,ratio_sweep,1,0,49,43,56,50,0.5303030303030303,198
